SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0000956,공공안전시설물현황(A),성산로 옹벽,서울특별시 마포구 방울내로11길 181,"서울특별시 마포구 방울내로11길 181, ~ 성산동 277-47 (망원동)",,,14126058.65,4517418.524,
SFT0000957,공공안전시설물현황(B),망원2배수문(이중),null,서울특별시 마포구 망원동 222,,,14126668.43,4516231.31799999,
SFT0000958,공공안전시설물현황(B),6호선 (6124) 망원역사,서울특별시 마포구 월드컵로 지하 77,"서울특별시 마포구 월드컵로 지하 77, 망원역 (망원동)",,,14127560.22,4516899.643,
SFT0000959,공공안전시설물현황(B),홍제천고가교(강변3공구),서울특별시 마포구 망원로 1,서울특별시 마포구 망원동 232-30,,,14126099.04,4516873.665,
SFT0000960,공공안전시설물현황(C),망원1배수문(이중),null,서울특별시 마포구 망원동 450,,,14126588.99,4517103.381,
SFT0000961,공공안전시설물현황(B),홍제천1복개-3,null,서울특별시 마포구 연남동 487-162,,,14128400.71,4517986.17599999,
SFT0000962,공공안전시설물현황(B),가좌역사,null,서울특별시 마포구 성산동 128-1,,,14128014.37,4518710.56599999,
SFT0000963,공공안전시설물현황(C),홍제천1복개-5,null,서울특별시 마포구 성산동 469-5,,,14126621.28,4518875.26699999,
SFT0000964,공공안전시설물현황(B),상암간이펌프장,null,서울특별시 마포구 성산동 486-9,,,14126406.5,4519354.905,
SFT0000965,공공안전시설물현황(B),성산고가차도,서울특별시 마포구 월드컵북로 151,서울특별시 마포구 성산2동 94번지,,,14127648.66,4518297.582,
SFT0000966,공공안전시설물현황(A),모래내로 옹벽,서울특별시 마포구 모래내로 67,서울특별시 마포구 모래내로 67 ~ 새터산길 2,,,14127594.84,4518266.587,
SFT0000967,공공안전시설물현황(B),중동배수문,null,서울특별시 마포구 성산동 96-14,,,14127787.33,4518291.61299999,
SFT0000968,공공안전시설물현황(B),중동빗물펌프장,서울특별시 마포구 모래내로  84,서울특별시 마포구 모래내로 84,,,14127832.46,4518312.38399999,
SFT0000969,공공안전시설물현황(B),성산4수문,null,서울특별시 마포구 성산동 398,,,14126427.55,4518198.51599999,
SFT0000970,공공안전시설물현황(B),홍제천1복개-4,서울특별시 마포구 성산로2길 19,서울특별시 마포구 성산로2길 19 (성산동),,,14127158.85,4517940.099,
SFT0000971,공공안전시설물현황(B),마포종합행정타운,서울특별시 마포구 월드컵로 212,서울특별시 마포구 월드컵로 212,,,14126548.87,4518275.87,
SFT0000972,공공안전시설물현황(B),성산배수문,서울특별시 마포구 성중길 82,서울특별시 마포구 성산동 445,,,14126546.34,4519359.076,
SFT0000973,공공안전시설물현황(B),성산6수문,null,서울특별시 마포구 성산동 456,,,14126939.38,4518503.15899999,
SFT0000974,공공안전시설물현황(B),서울월드컵경기장,서울특별시 마포구 월드컵로 240,서울특별시 마포구 성산동 월드컵로 240 월드컵주경기장,,,14126137.95,4518611.42599999,
SFT0000975,공공안전시설물현황(B),시립서부노인전문요양센터,서울특별시 마포구 월드컵로36길 15,서울특별시 마포구 월드컵로 36길15,,,14126720.51,4518361.39699999,
SFT0000976,공공안전시설물현황(B),성산빗물펌프장,서울특별시 마포구 성중길  82,서울특별시 마포구 성중길 82,,,14126546.34,4519359.076,
SFT0000977,공공안전시설물현황(B),6호선 (6122) 마포구청역사,서울특별시 마포구 월드컵로 지하 190,"서울특별시 마포구 월드컵로 지하 190, 마포구청역 (성산동)",,,14126817.45,4517934.83299999,
SFT0000978,공공안전시설물현황(C),마포농수산물시장,서울특별시 마포구 월드컵로 235,서울특별시 마포구 월드컵로 235 (성산동),,,14126293.69,4518115.967,
SFT0000979,공공안전시설물현황(C),모래내고가도로,null,서울특별시 마포구 성산동 23 ∼서대문구 연남동 451,,,14128165.37,4518070.75999999,
SFT0000980,공공안전시설물현황(A),6호선 (6121) 월드컵경기장역~마포구청역간 터널,서울특별시 마포구 월드컵로 190,서울특별시 마포구 성산동 월드컵로 190 마포구청역 지하철역(6호선),,,14126807.4,4518041.01599999,
SFT0000981,공공안전시설물현황(C),성산5수문,null,서울특별시 마포구 성산동 456,,,14126939.38,4518503.15899999,
SFT0000982,공공안전시설물현황(B),6호선 (6120) 월드컵경기장역사,서울특별시 마포구 월드컵로 지하 240,"서울특별시 마포구 월드컵로 지하 240, 월드컵경기장역 (성산동)",,,14126335.52,4518850.394,
