SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0014358,약국,서울약국,"서울특별시 마포구 마포대로 156, 공덕푸르지오시티 121호 (공덕동)",,126.9543685546,37.5479378173,14132495.661479654,4515759.955861999,
SFT0014359,약국,선진약국,"서울특별시 마포구 독막로20길 53, 1층 (창전동)",,126.9283557477792,37.54704912375421,14129599.929070259,4515635.179289142,
SFT0014360,약국,성모약국,서울특별시 마포구 백범로 127,,126.94537662605637,37.546575657132614,14131494.684572928,4515568.703052303,
SFT0014361,약국,성산연세약국,"서울특별시 마포구 월드컵북로38길 14, 408호 (중동, 오윤빌딩)",,126.90380231106461,37.570612201434216,14126866.652997967,4518944.044796978,
SFT0014362,약국,성산진약국,"서울특별시 마포구 월드컵북로38길 14, 3층(중동,오윤빌딩)",,126.90375610615536,37.5705368414819,14126861.509490995,4518933.460642411,
SFT0014363,약국,성산현대약국,서울특별시 마포구 월드컵로 205 (성산동) SH빌 상가 101호,,126.90149939313201,37.56504612025903,14126610.293346372,4518162.328642474,
SFT0014364,약국,성심약국,서울특별시 마포구 독막로 268,,126.94288783146132,37.54567706001287,14131217.633225918,4515442.538286963,
SFT0014365,약국,성은약국,"서울특별시 마포구 효창원로 255-1, 1층 (공덕동)",,126.96346576789999,37.5500096752,14133508.358631847,4516050.8598113395,
SFT0014366,약국,성지약국,"서울특별시 마포구 동교로 181, (동교동)",,126.92151967360763,37.556800784541544,14128838.940774456,4517004.437755319,
SFT0014367,약국,세계로약국,서울특별시 마포구 월드컵북로 347  (상암동),,126.89325783966531,37.576311657800574,14125692.847811112,4519744.553079229,
SFT0014423,약국,세명약국,서울특별시 마포구 마포대로 127,,126.9521709218891,37.54622910704114,14132251.022125328,4515520.046572213,
SFT0014424,약국,셀약국,"서울특별시 마포구 양화로 72, 1층 118호 (서교동)",,126.916715922466,37.5508021700653,14128304.18964347,4516162.134004386,
SFT0014425,약국,소나무약국,"서울특별시 마포구 월드컵북로 402, 케이지아이티센터 102호 (상암동)",,126.88898110243768,37.58010684988462,14125216.763600675,4520277.634866408,
SFT0014436,약국,대교약국,"서울특별시 마포구 도화길 10, 1층 (도화동)",,126.94734921159554,37.539786252893684,14131714.271790693,4514615.495288555,
SFT0014437,약국,소망약국,"서울특별시 마포구 양화로 165, 상진빌딩 지하1층 (동교동)",,126.9236197709,37.5572094172,14129072.722535657,4517061.818942126,
SFT0014506,약국,소담약국,"서울특별시 마포구 성암로 179, 한샘상암 1층 (상암동)",,126.8987633275,37.5761512717,14126305.715913437,4519722.025461055,
SFT0014507,약국,수려한약국,"서울특별시 마포구 월드컵북로 137, 1층 2호 (성산동, 씨에스타워)",,126.91168755485259,37.56490980353532,14127744.434321225,4518143.184669735,
SFT0014508,약국,수약국,"서울특별시 마포구 월드컵로 151, (망원동)",,126.90513987923539,37.561203645318315,14127015.550405638,4517622.714691974,
SFT0014509,약국,수정약국,"서울특별시 마포구 마포대로 63-8, 삼창프라자빌딩 1층 104호 (도화동)",,126.947815454166,37.5422597095372,14131766.173676224,4514962.749590781,
SFT0014510,약국,신명약국,"서울특별시 마포구 신촌로 170, 이대역푸르지오시티 상가106호 (대흥동)",,126.9443723628,37.5563488529,14131382.890498606,4516940.976786969,
SFT0014511,약국,신영약국,"서울특별시 마포구 백범로 178, A203-1호 (공덕동, 마포신영지웰)",,126.9500846756812,37.54389240054957,14132018.782259794,4515191.973172461,
SFT0014512,약국,신일약국,서울특별시 마포구 손기정로 54 (아현동) 1층,,126.9624532887,37.5560820838,14133395.649962867,4516903.516821309,
SFT0014513,약국,신촌성은약국,"서울특별시 마포구 서강로 138, 1층(노고산동)",,126.93595407963838,37.55413533593572,14130445.771503702,4516630.156731726,
SFT0014514,약국,신촌세민약국,"서울특별시 마포구 신촌로 78, 1층 (노고산동)",,126.934485075757,37.5557083973332,14130282.242739651,4516851.043644849,
