SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GUBUN
SFT0025986,편의점(509010),GS25,서울특별시 마포구 백범로1길 84,서울특별시 마포구 노고산동 19-1,,,14131024.22,4516870.464,편의점
SFT0026041,편의점(509010),CU,서울특별시 마포구 잔다리로 96,서울특별시 마포구 서교동 459-1,,,14128150.48,4516861.597,편의점
SFT0026053,편의점(509010),FOODFOCUS,서울특별시 마포구 매봉산로 31,서울특별시 마포구 상암동 1648,,,14125325.62,4519660.447,편의점
SFT0026059,편의점(509010),GS25상수사랑점,서울특별시 마포구 독막로18길 5,서울특별시 마포구 상수동 396,,,14129145.25,4515693.938,편의점
SFT0026065,편의점(509010),CU,서울특별시 마포구 월드컵북로 481,서울특별시 마포구 상암동 1748,,,14124313.5,4520735.567,편의점
SFT0026071,편의점(509010),GS25자판기공덕삼성점,서울특별시 마포구 마포대로 115-8,서울특별시 마포구 공덕동 371,,,14132076.65,4515474.192,편의점
SFT0026075,편의점(509010),CU,서울특별시 마포구 성암로 267,서울특별시 마포구 상암동 1603,,,14125437.69,4520418.614,편의점
SFT0026082,편의점(509010),굿타임24홍대플러스점,서울특별시 마포구 잔다리로6길 39,서울특별시 마포구 서교동 369-5,,,14128821.09,4516391.097,편의점
SFT0026105,편의점(509010),GS25대흥사랑점,서울특별시 마포구 큰우물로 18,서울특별시 마포구 대흥동 778-1,,,14131026.02,4515249.832,편의점
SFT0026251,편의점(509010),지에스25상암아이티타워,서울특별시 마포구 월드컵북로 434,서울특별시 마포구 상암동 1590,,,14124888.62,4520489.295,편의점
SFT0026447,편의점(509010),세븐일레븐,서울특별시 마포구 망원로6길 49,서울특별시 마포구 망원동 404-7,,,14126880.91,4516717.754,편의점
SFT0026482,편의점(509010),GS25,서울특별시 마포구 희우정로 21,서울특별시 마포구 합정동 398-15,,,14127344.62,4515948.886,편의점
SFT0026496,편의점(509010),GS25,서울특별시 마포구 모래내로3길 4,서울특별시 마포구 성산동 597,,,14127088.98,4518114.554,편의점
SFT0026634,편의점(509010),GS25공덕대우점,서울특별시 마포구 백범로 199,서울특별시 마포구 신공덕동 167,,,14132331.11,4515134.211,편의점
SFT0026638,편의점(509010),비지에프리테일신촌아이비점,서울특별시 마포구 서강로 136,서울특별시 마포구 노고산동 106-5,,,14130426.12,4516615.696,편의점
SFT0026667,편의점(509010),씨유홍대한벗,서울특별시 마포구 와우산로23길 14,서울특별시 마포구 서교동 342-12,,,14129169.26,4516572.23,편의점
SFT0026675,편의점(509010),세븐일레븐홍대중앙점,서울특별시 마포구 어울마당로 130,서울특별시 마포구 서교동 347-21,,,14129170.97,4516864.516,편의점
SFT0026700,편의점(509010),GS25,서울특별시 마포구 희우정로 19,서울특별시 마포구 합정동 398-16,,,14127361.17,4515933.898,편의점
SFT0026824,편의점(509010),GS25,서울특별시 마포구 마포대로 167,서울특별시 마포구 공덕동 469,,,14132405.87,4516004.162,편의점
SFT0027007,편의점(509010),세븐일레븐,서울특별시 마포구 월드컵로 240,서울특별시 마포구 성산동 515,,,14126138.08,4518615.885,편의점
SFT0027036,편의점(509010),GS25홍대블루점,서울특별시 마포구 와우산로 1,서울특별시 마포구 상수동 395,,,14128933.5,4515262.642,편의점
SFT0027218,편의점(509010),GS25,서울특별시 마포구 신촌로20길 12,서울특별시 마포구 노고산동 31-23,,,14130692.31,4516695.897,편의점
SFT0027225,편의점(509010),신동아편의점,서울특별시 마포구 토정로 144,서울특별시 마포구 상수동 281-1,,,14129432.07,4515397.405,편의점
SFT0027250,자살예방센터(504080),마포구정신건강복지센터,서울특별시 마포구 성산로 4길 15 성산1동주민센터 3층,서울특별시 마포구 성산동 275-3,,,14127322.32,4517926.726,복지시설
SFT0027401,편의점(509010),GS25편의점편의점,서울특별시 마포구 월드컵북로 434,서울특별시 마포구 상암동 1590,,,14124888.62,4520489.295,편의점
SFT0027553,편의점(509010),CU,서울특별시 마포구 대흥로 169,서울특별시 마포구 대흥동 18-1,,,14131527.17,4516623.096,편의점
SFT0027564,편의점(509010),세븐일레븐S애오개점,서울특별시 마포구 마포대로 210,서울특별시 마포구 아현동 612,,,14132744.09,4516520.333,편의점
SFT0027566,편의점(509010),위드미,서울특별시 마포구 마포대로 108-1,서울특별시 마포구 공덕동 255-6,,,14132216.25,4515268.285,편의점
SFT0027581,편의점(509010),현대할인마트,서울특별시 마포구 대흥로21길 11,서울특별시 마포구 대흥동 20-10,,,14131471.71,4516512.398,편의점
SFT0027582,편의점(509010),세븐일레븐,서울특별시 마포구 성암로3길 27,서울특별시 마포구 중동 355-2,,,14127683,4518613.731,편의점
SFT0027590,편의점(509010),세븐일레븐염리2호점,서울특별시 마포구 독막로 291,서울특별시 마포구 염리동 161-7,,,14131505.31,4515309.639,편의점
SFT0027739,편의점(509010),GS25,서울특별시 마포구 와우산로11길 28,서울특별시 마포구 상수동 312-4,,,14128825.75,4515872.438,편의점
SFT0027740,편의점(509010),코리아세븐마포성산초교점,서울특별시 마포구 동교로 92,서울특별시 마포구 서교동 480-1,,,14127821.65,4516642.693,편의점
SFT0027757,편의점(509010),세븐일레븐상암휴먼시아점,서울특별시 마포구 월드컵북로43길 11,서울특별시 마포구 상암동 1630,,,14125963.78,4519512.334,편의점
SFT0027764,편의점(509010),CU,서울특별시 마포구 마포대로 73,서울특별시 마포구 도화동 556,,,14131892.06,4514968.633,편의점
SFT0027767,편의점(509010),CU,서울특별시 마포구 와우산로 12,서울특별시 마포구 상수동 345-3,,,14129018.52,4515429.343,편의점
SFT0027768,편의점(509010),세븐일레븐,서울특별시 마포구 어울마당로 26,서울특별시 마포구 당인동 12-1,,,14128660.21,4515697.209,편의점
SFT0027770,편의점(509010),코리아세븐상암월드컵단지점,서울특별시 마포구 상암산로1길 57,서울특별시 마포구 상암동 1689,,,14124800.61,4520257.898,편의점
SFT0027929,편의점(509010),GS25에스6상수역점,서울특별시 마포구 독막로 85,서울특별시 마포구 상수동 309-10,,,14128935.66,4515735.806,편의점
SFT0027932,편의점(509010),GS25,서울특별시 마포구 백범로 152,서울특별시 마포구 공덕동 476,,,14131830.4,4515301.91,편의점
SFT0027934,편의점(509010),세븐일레븐망원2호점,서울특별시 마포구 월드컵로 161,서울특별시 마포구 망원동 472-15,,,14126933.44,4517728.063,편의점
SFT0027940,편의점(509010),CU,서울특별시 마포구 방울내로 38,서울특별시 마포구 망원동 431-43,,,14126465.03,4517268.322,편의점
SFT0027959,편의점(509010),세븐일레븐합정역본점,서울특별시 마포구 월드컵로1길 40,서울특별시 마포구 합정동 388-32,,,14127639.17,4515970.03,편의점
SFT0027969,편의점(509010),위드미,서울특별시 마포구 모래내로9길 6,서울특별시 마포구 성산동 667,,,14128031.29,4518460.863,편의점
