정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB101000023,숭례문.한국일보,37.5588,126.97375,2.0221E+13,2118,11,서울특별시,경기도
GGB101000025,후암삼거리,37.5533833,126.9760833,2.0221E+13,2120,11,서울특별시,경기도
GGB101000026,숭례문,37.5587833,126.9744,2.0221E+13,2121,11,서울특별시,경기도
GGB101000027,숭례문,37.55845,126.9741,2.0221E+13,2122,11,서울특별시,경기도
GGB101000028,숭례문,37.558,126.9737,2.0221E+13,2123,11,서울특별시,경기도
GGB101000031,남대문시장,37.5612667,126.97995,2.0221E+13,2126,11,서울특별시,경기도
GGB101000032,북창동.남대문시장,37.5612,126.9781833,2.0221E+13,2127,11,서울특별시,경기도
GGB101000033,시청앞,37.56235,126.9766,2.0221E+13,2128,11,서울특별시,경기도
GGB101000034,삼성본관앞,37.5620667,126.9759,2.0221E+13,2131,11,서울특별시,경기도
GGB101000035,시청앞,37.5628667,126.9762167,2.0221E+13,2132,11,서울특별시,경기도
GGB101000036,서소문,37.56325,126.9748833,2.0221E+13,2133,11,서울특별시,경기도
GGB101000038,시청.서소문청사,37.56355,126.9749667,2.0221E+13,2135,11,서울특별시,경기도
GGB101000039,서울신문사,37.5684,126.9773667,2.0221E+13,2137,11,서울특별시,경기도
GGB101000040,우리은행종로지점,37.5676833,126.9829333,2.0221E+13,2139,11,서울특별시,경기도
GGB101000041,롯데백화점,37.5644667,126.98215,2.0221E+13,2140,11,서울특별시,경기도
GGB101000042,해운센터.롯데영프라자,37.5627,126.9814833,2.0221E+13,2141,11,서울특별시,경기도
GGB101000043,롯데영프라자,37.5630333,126.9820833,2.0221E+13,2142,11,서울특별시,경기도
GGB101000045,신세계앞,37.5608,126.9815167,2.0221E+13,2144,11,서울특별시,경기도
GGB101000046,남대문시장.회현역,37.5583167,126.9777667,2.0221E+13,2145,11,서울특별시,경기도
GGB101000047,남대문시장.회현역,37.5578167,126.9777167,2.0221E+13,2146,11,서울특별시,경기도
GGB101000048,남산3호터널,37.5585333,126.9826833,2.0221E+13,2147,11,서울특별시,경기도
GGB101000049,남산3호터널.서울애니메이션센터,37.5595,126.9827,2.0221E+13,2148,11,서울특별시,경기도
GGB101000057,을지로입구.로얄호텔,37.5659833,126.9852833,2.0221E+13,2156,11,서울특별시,경기도
GGB101000058,을지로입구.시청입구,37.56615,126.9810833,2.0221E+13,2157,11,서울특별시,경기도
GGB101000059,을지로2가.기업은행본점.서울노동청,37.56625,126.9865333,2.0221E+13,2158,11,서울특별시,경기도
GGB101000060,을지로2가.파인에비뉴,37.56605,126.9888167,2.0221E+13,2159,11,서울특별시,경기도
GGB101000061,을지로3가,37.5663833,126.9903667,2.0221E+13,2160,11,서울특별시,경기도
GGB101000062,을지로3가,37.5661667,126.9912833,2.0221E+13,2161,11,서울특별시,경기도
GGB101000063,을지로4가,37.5666833,126.9962167,2.0221E+13,2162,11,서울특별시,경기도
GGB101000064,을지로4가.베스트웨스턴국도,37.5664333,126.9968333,2.0221E+13,2163,11,서울특별시,경기도
GGB101000066,을지로5가,37.56685,126.99925,2.0221E+13,2165,11,서울특별시,경기도
GGB101000067,을지로5가.중부시장,37.5666667,127.0011,2.0221E+13,2166,11,서울특별시,경기도
GGB101000070,을지로6가.국립중앙의료원,37.5661333,127.0063667,2.0221E+13,2169,11,서울특별시,경기도
