SAFETY_SORT,SAFETY_GUBUN,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LON,SAFETY_LAT,SAFETY_X,SAFETY_Y
safe,아동복지관,아동안전지킴이집(504040),어린이문구,서울특별시 마포구 도화2길 63 (도화동),서울특별시 마포구 도화동 347-109,,,14132037.97,4514392.172
safe,아동복지관,아동안전지킴이집(504040),CU(마포대운점),서울특별시 마포구 토정로37길 23-1 (용강동),서울특별시 마포구 용강동 19-6,,,14131471.14,4514843.708
safe,아동복지관,아동안전지킴이집(504040),르네상스제과점,서울특별시 마포구 큰우물로 39 (대흥동),서울특별시 마포구 대흥동 585,,,14131261.9,4515080.442
safe,아동복지관,아동안전지킴이집(504040),삼성프라자 이대점,서울특별시 마포구 대흥로 174 (대흥동),서울특별시 마포구 대흥동 3-30,,,14131597.99,4516683.342
safe,아동복지관,아동안전지킴이집(504040),한강부동산,서울특별시 마포구 큰우물로 49 (염리동),서울특별시 마포구 염리동 174-18,,,14131355.91,4515009.402
safe,아동복지관,아동안전지킴이집(504040),CU(이대역점),서울특별시 마포구 숭문길 214 (염리동),서울특별시 마포구 염리동 9-125,,,14131629.85,4516876.011
safe,아동복지관,아동안전지킴이집(504040),대현마트,서울특별시 마포구 마포대로11길 91 (염리동),서울특별시 마포구 염리동 128-68,,,14131927.05,4515869.737
safe,아동복지관,아동안전지킴이집(504040),즐거운약국,서울특별시 마포구 큰우물로 53 (염리동),서울특별시 마포구 염리동 174-14,,,14131409.29,4514966.988
safe,아동복지관,아동안전지킴이집(504040),CU(신촌아이비점),서울특별시 마포구 서강로 136 (노고산동),서울특별시 마포구 노고산동 106-5,,,14130413.19,4516616.798
safe,아동복지관,아동안전지킴이집(504040),용약국,서울특별시 마포구 신촌로 102-1 (노고산동),서울특별시 마포구 노고산동 31 -135,,,14130600.06,4516692.3
safe,아동복지관,아동안전지킴이집(504040),김포문구,서울특별시 마포구 대흥로9길 25 (신수동),서울특별시 마포구 신수동 426 -3,,,14130604.96,4515361.435
safe,아동복지관,아동안전지킴이집(504040),선진약국,서울특별시 마포구 독막로20길 53 (창전동),서울특별시 마포구 창전동 388-1,,,14129592.88,4515630.739
safe,아동복지관,아동안전지킴이집(504040),은혜세탁소,서울특별시 마포구 와우산로29길 12 (서교동),서울특별시 마포구 서교동 327-18,,,14129698.83,4516728.837
safe,아동복지관,아동안전지킴이집(504040),이마트24(마포합정점),서울특별시 마포구 희우정로7길 12 (합정동),서울특별시 마포구 합정동 443-17,,,14127040.37,4516195.809
safe,아동복지관,아동안전지킴이집(504040),양슈퍼마켓,서울특별시 마포구 월드컵로7길 44 (합정동),서울특별시 마포구 합정동 432 -49,,,14127508.45,4516463.169
safe,아동복지관,아동안전지킴이집(504040),비연꽃꽃이,서울특별시 마포구 월드컵로25길 91 (망원동),서울특별시 마포구 망원동 421 -12,,,14126736.6,4517076.631
safe,아동복지관,아동안전지킴이집(504040),하모니마트,서울특별시 마포구 월드컵로31길 93 (망원동),서울특별시 마포구 망원동 437-5,,,14126437.9,4517408.428
safe,아동복지관,아동안전지킴이집(504040),세훈통신,서울특별시 마포구 망원로3길 47 (망원동),서울특별시 마포구 망원동 431-41,,,14126483.76,4517258.396
safe,아동복지관,아동안전지킴이집(504040),삼천리자전거(망원월드점),서울특별시 마포구 방울내로 53 (망원동),서울특별시 마포구 망원동 436 -12,,,14126611.98,4517391.492
safe,아동복지관,아동안전지킴이집(504040),크린토피아 망원점,서울특별시 마포구 방울내로 52 (망원동),서울특별시 마포구 망원동 432-11,,,14126576.15,4517330.336
safe,아동복지관,아동안전지킴이집(504040),인더라인(망원 1호점),서울특별시 마포구 마포나루길 407 (망원동),서울특별시 마포구 망원동 205-5,,,14126158.18,4516547.292
safe,아동복지관,아동안전지킴이집(504040),세븐일레븐(마포연남점),서울특별시 마포구 성미산로 142 (연남동),서울특별시 마포구 연남동 252 -1,,,14128922.52,4517962.443
safe,아동복지관,아동안전지킴이집(504040),연남미니슈퍼,서울특별시 마포구 동교로23길 82 (연남동),서울특별시 마포구 연남동 487-388,,,14128481.32,4517319.636
safe,아동복지관,아동안전지킴이집(504040),GS25 연남공원점,서울특별시 마포구 동교로29길 32 (연남동),서울특별시 마포구 연남동 257-23,,,14129027.33,4517721.965
safe,아동복지관,아동안전지킴이집(504040),한강슈퍼,서울특별시 마포구 성암로1길 8 (성산동),서울특별시 마포구 성산동 600,,,14127818.46,4518643.111
safe,아동복지관,아동안전지킴이집(504040),화이트세탁소,서울특별시 마포구 월드컵로32길 35 (성산동),서울특별시 마포구 성산동 277-19,,,14127168.35,4517872.509
safe,아동복지관,아동안전지킴이집(504040),빠리바게뜨(마포성서점),서울특별시 마포구 성미산로 41 (성산동),서울특별시 마포구 성산동 243 -4,,,14127846.22,4517327.458
safe,아동복지관,아동안전지킴이집(504040),코아문구사,서울특별시 마포구 성미산로7길 3 (성산동),서울특별시 마포구 성산동 244-5,,,14127814.64,4517334.676
