::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/bootstrap-5.2.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 522639
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/ol/ol.js.map HTTP/1.1" 404 721
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/ol/jsts.min.js.map HTTP/1.1" 404 721
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /resources/js/bootstrap-5.2.3-dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 333078
::1 - - [29/Apr/2023:01:28:16 +0900] "GET /favicon.ico HTTP/1.1" 404 721
::1 - - [29/Apr/2023:01:28:17 +0900] "GET /resources/images/accident.svg HTTP/1.1" 200 5741
::1 - - [29/Apr/2023:01:28:17 +0900] "GET /resources/images/public.svg HTTP/1.1" 200 2302
::1 - - [29/Apr/2023:01:28:17 +0900] "GET /resources/images/edu.svg HTTP/1.1" 200 2024
::1 - - [29/Apr/2023:01:28:17 +0900] "GET /resources/images/safe.svg HTTP/1.1" 200 3387
::1 - - [29/Apr/2023:01:28:17 +0900] "GET /resources/images/safetyTotal.svg HTTP/1.1" 200 1820
::1 - - [29/Apr/2023:01:28:17 +0900] "GET /resources/images/health.svg HTTP/1.1" 200 849
::1 - - [29/Apr/2023:01:28:17 +0900] "GET /resources/images/police.svg HTTP/1.1" 200 1234
::1 - - [29/Apr/2023:01:28:24 +0900] "GET /resources/images/edu2.svg HTTP/1.1" 200 1186
::1 - - [29/Apr/2023:01:28:26 +0900] "GET /resources/images/health2.svg HTTP/1.1" 200 885
::1 - - [29/Apr/2023:01:28:26 +0900] "GET /resources/images/accident2.svg HTTP/1.1" 200 2289
::1 - - [29/Apr/2023:01:28:27 +0900] "GET /safety?sort=edu HTTP/1.1" 200 9512
::1 - - [29/Apr/2023:01:28:34 +0900] "GET / HTTP/1.1" 200 5406
